grid_latitude,grid_longitude,weathercode,temperature_2m_mean,temperature_2m_max,temperature_2m_min,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,shortwave_radiation_sum,Number of Sites Reporting,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_lag_7,aqi_roll_mean_3,aqi_roll_mean_7,aqi_roll_std_7,aqi_diff_1,aqi_diff_7,month,weekday,season,month_sin,month_cos,weekday_sin,weekday_cos,temp_range,wind_dir_sin,wind_dir_cos,AQI
42.448944,-76.498665,3,-8.2,-4.8,-13.6,34520.98,18303.57,0.0,0.0,0.0,0.0,6.41,14.1,6.83,1.0,31.0,31.0,31.0,29.0,31.0,31.285714285714285,1.4960264830861945,0.0,2.0,1,6,4,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,8.8,-0.9510565162951536,0.30901699437494723,34.0
42.448944,-76.498665,3,-3.6,2.3,-10.0,34639.26,23167.2,0.0,0.0,0.0,0.0,3.32,9.4,8.42,1.0,34.0,31.0,31.0,31.0,32.0,32.0,1.4142135623730998,3.0,3.0,1,0,4,0.49999999999999994,0.8660254037844387,0.0,1.0,12.3,0.6427876096865395,-0.7660444431189779,35.0
42.448944,-76.498665,73,1.4,2.8,-0.2,34760.15,0.0,4.9,2.8,1.47,10.0,2.69,7.9,2.92,1.0,35.0,34.0,31.0,32.0,33.333333333333336,32.57142857142857,1.7182493859684538,1.0,3.0,1,1,4,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,3.0,0.8987940462991669,0.43837114678907746,31.0
42.448944,-76.498665,53,3.9,6.3,2.4,34883.46,0.0,4.7,4.7,0.0,8.0,3.54,9.8,0.91,1.0,31.0,35.0,34.0,34.0,33.333333333333336,32.42857142857143,1.8126539343499355,-4.0,-3.0,1,2,4,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,3.9,0.9396926207859084,-0.3420201433256687,25.0
42.448944,-76.498665,51,6.3,7.9,4.5,35009.03,0.0,0.4,0.4,0.0,1.0,3.1,9.7,3.18,1.0,25.0,31.0,35.0,31.0,30.333333333333332,31.142857142857142,3.1847852585154204,-6.0,-6.0,1,3,4,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,3.4000000000000004,-0.9702957262759966,0.24192189559966745,22.0
42.448944,-76.498665,63,7.3,16.4,2.9,35136.69,7200.0,9.7,9.7,0.0,6.0,5.31,11.4,3.93,1.0,22.0,25.0,31.0,31.0,26.0,29.857142857142858,4.705619740571597,-3.0,-9.0,1,4,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,13.499999999999998,-0.7193398003386512,0.6946583704589973,16.0
42.448944,-76.498665,45,3.8,5.6,2.2,35266.26,0.0,0.0,0.0,0.0,0.0,3.11,6.7,3.41,1.0,16.0,22.0,25.0,31.0,21.0,27.714285714285715,6.969320524371691,-6.0,-15.0,1,5,4,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,3.3999999999999995,-0.6018150231520483,0.7986355100472928,19.0
42.448944,-76.498665,73,3.7,5.2,0.8,35397.58,0.0,14.1,11.7,1.68,18.0,3.47,7.5,2.0,1.0,19.0,16.0,22.0,34.0,19.0,26.0,7.4833147735478756,3.0,-15.0,1,6,4,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,4.4,-0.4226182617406992,0.90630778703665,26.0
42.448944,-76.498665,3,0.3,0.9,-0.8,35530.5,0.0,0.0,0.0,0.0,0.0,5.66,13.2,2.56,1.0,26.0,19.0,16.0,35.0,20.333333333333332,24.857142857142858,6.6188763252929625,7.0,-9.0,1,0,4,0.49999999999999994,0.8660254037844387,0.0,1.0,1.7000000000000002,-0.529919264233205,0.8480480961564258,29.0
42.448944,-76.498665,3,0.6,1.9,-0.5,35664.85,510.61,0.0,0.0,0.0,0.0,3.81,10.1,5.9,1.0,29.0,26.0,19.0,31.0,24.666666666666668,24.0,5.3541261347363225,3.0,-2.0,1,1,4,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,2.4,0.6156614753256584,-0.7880107536067219,28.0
