State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
New York,Tompkins,36,109,2024-03-21,34,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-03-22,35,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-03-23,37,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-03-24,42,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-03-25,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-03-26,42,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-03-27,34,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-03-28,40,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-03-29,40,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-03-30,42,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-03-31,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-01,42,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-02,40,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-04,36,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-05,36,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-06,38,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-07,43,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-08,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-09,54,Moderate,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-10,47,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-11,37,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-12,40,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-13,40,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-14,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-15,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-16,45,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-17,40,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-18,30,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-19,32,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-20,42,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-21,35,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-22,47,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-23,54,Moderate,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-24,41,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-25,33,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-26,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-27,38,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-28,35,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-29,42,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-04-30,35,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-01,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-02,43,Good,Ozone,36-109-9991,1
